2.73E+17,forex_fx_,  : closed buy 2.0 lots gbpusd 1.6037 for  8.0 pips  total for today  26.0 pips,27/11/2012 16:15,-1
2.72E+17,jdsocialize,closed buy 0.1 lots gbpusd 1.5949 for  10.0 pips  total for today  98.0 pips,22/11/2012 19:16,-1
2.75E+17,forex_fx_,  : closed sell 1.0 lots gbpusd 1.5492 for  5.0 pips  total for today  242.0 pips,01/12/2012 17:08,1
2.72E+17,FXTraderUpdates,   long future entry for the elder impulse entry is setting up. $gbpusd ,22/11/2012 12:50,1
2.79E+17,ElliottWaveFX,gbpusd 12th december  2012: today the pound moved towards the upside as expected and the specified target was re... ,13/12/2012 07:00,1
2.82E+17,GekkoGreed,gbpusd   hesitates but still retains broader upside: gbpusd the pair may have run into bears and closed marginal... ,20/12/2012 09:44,1
3.01E+17,Onixfxinvest,closed buy 0.3 lots   gbpusd 1.58034 for  118.0 pips  total for today  48.1 pips,11/02/2013 11:47,-1
2.90E+17,AkilStokesRTM,  :   not patterns we trade in live room  but gbpusd 5 15min has been awesome     ,11/01/2013 11:17,0
2.94E+17,FXTraderUpdates,   sho future entry for the elder impulse entry is setting up. $gbpusd ,22/01/2013 16:07,-1
2.94E+17,FXTraderUpdates,   $gbpusd sentiment bullish based on analysis of 232 articles and reports. visit  ,22/01/2013 16:01,1
2.69E+17,CrossFXS,closed buy $gbpusd 1.58428 for  0.3 pips  total for today  4.3 pips,14/11/2012 23:07,-1
2.96628E+17,NameSur71633099,closed sell limit gbpusd 1.5859 for 0.0 pips  total for today  95.0 pips,30/01/2013 14:34,1
2.79E+17,InForexPatternW,homing pigeon  bullish 10 min. gbpusd 12 12 2012 10:20  from ,12/12/2012 15:20,1
2.72E+17,reggytrades,flat the gbpusd  have a limit on.  finally realized i don t know what i m doing here.,23/11/2012 15:13,0
2.94E+17,TemetNosce101,range bound action on $eurjpy  and  $eurusd so will be playing patterns on outer banks both long and short $gbpusd slowed down but still bearish,22/01/2013 10:46,-1
2.98373E+17,GusFarrow,looks like some ltro repayment led profit taking this morn... oppo to buy $eurusd and short $gbpusd  ,04/02/2013 10:10,-1
2.92E+17,Pam__Brooks,:   forex market commentary: gbpusd and eurusd update  18th january 2013,19/01/2013 02:12,0
2.71E+17,SevdiAlieva,  : flash: $gbpusd sell on rallies   rabobank ,19/11/2012 13:53,-1
2.87E+17,FXTraderUpdates,   sho future entry for the double bollinger bands re entry is setting up. $gbpusd ,03/01/2013 06:20,-1
2.71E+17,Dodjfrost,closed sell 0.02 lots gbpusd 1.59141 for  16.9 pips  total for today  16.9 pips,20/11/2012 00:46,1
2.95E+17,inewsreleases,  : $gbpusd: the sterling is expected to reach 1.5912 next week and stay bullish for the quarter. ,27/01/2013 03:03,1
2.97743E+17,MyMarketivaCom,gbpusd technical update   week of 4 2 13: cable was trading around the 1.5865 area heading into friday and looke... ,02/02/2013 16:25,0
3.03912E+17,alan925,for what its worth adam   says  even if the downgrade rumor proves to be false  i don t think gbp will snap back.  $gbpusd,19/02/2013 17:01,0
2.97619E+17,Fibarchie,all the latest setups and signals  $es $cl_f $eurusd $gbpusd $audusd $usdjpy $usdchf $gc_f $si_f,02/02/2013 08:15,0
2.92E+17,HiPwrD64,closed sell $gbpusd 1.58678 for  3.6 pips  total for today  106.1 pips at fxdd  live ,18/01/2013 17:33,1
2.99452E+17,FXstreetNews, : $gbpusd up after upbeat uk data  boe s carney ahead ,07/02/2013 09:39,0
3.0343E+17,Signal_Forex,  : forex signal   close tp  sell gbpusd .54475   profit: 80 pips   2013.02.18 08:20 gmt  ,18/02/2013 09:03,1
2.84E+17,FXTraderUpdates,   $gbpusd sentiment bearish based on analysis of 33 articles and reports. visit   ,27/12/2012 04:00,-1
2.90E+17,FXTraderUpdates,   long future entry for the elder impulse entry is setting up. $gbpusd ,11/01/2013 18:40,1
2.79E+17,forex_fx_,  : closed sell gbpusd 1.61196 for  8.5 pips  total for today  10.7 pips,12/12/2012 01:37,1
2.76E+17,JacekWierzbicki,dailyfxteam: $eurusd and $gbpusd each hit new daily highs  probably related to positive statements ahead of meeting of eu finance ministers.,04/12/2012 09:39,1
2.99528E+17,forexman1972,closed buy 0.27 lots $gbpusd 1.56913 for  6.0 pips  total for today  94.4 pips,07/02/2013 14:40,-1
2.91E+17,dailysignalfx,closed buy 0.1 lots gbpusd 1.60894 for  10.0 pips  total for today  125.6 pips,15/01/2013 16:14,-1
2.74E+17,dagang168_tp,closed buy 0.02 lots $gbpusd 1.59764 for  67.0 pips  total for today  364.4 pips tpoint  ,29/11/2012 13:25,-1
2.88E+17,SoncheRyu,closed buy 1.0 lots gbpusd 1.6193 for  160.0 pips  total for today  160.0 pips,07/01/2013 22:20,-1
2.89E+17,Candle_Stick,forex: gbpusd  trading the bank of england  boe  rate decision ... ,10/01/2013 02:25,0
2.91E+17,FXTraderUpdates,   long future entry for the floor trader pivot point is setting up. $gbpusd ,15/01/2013 09:07,1
2.77E+17,TheBearEnd,  : checkout   signals on both $eurusd and $gbpusd before published before nfp report ,07/12/2012 15:54,0
2.83E+17,GeoFxLab,closed sell limit 0.3 lots gbpusd 1.64462 for 0.0 pips  total for today  503.8 pips,24/12/2012 16:35,1
2.84E+17,jazmario,closed buy 1.0 lots gbpusd 1.6174 for  27.0 pips  total for today  27.0 pips,26/12/2012 11:30,-1
2.86E+17,dagang168_demo,closed sell 8.4 lots $gbpusd 1.63725 for  59.5 pips  total for today  1005.6 pips finfx demo,02/01/2013 07:52,1
2.78E+17,FXTraderUpdates,   $gbpusd sentiment bullish based on analysis of 56 articles and reports. visit   ,08/12/2012 23:03,1
2.76E+17,Firozl,closed sell ibfxlive gbpusd 1.60745 for  12.1 pips  total for today  12.1 pips grid,05/12/2012 13:36,1
2.98825E+17,RobertMLea,$gbpusd making a new 2013 low. although cable is beginning to look over sold  today s close will be key.,05/02/2013 16:06,-1
2.72E+17,forex_fx_,  : ill b back replies to: cable update  gbpusd : i d say a retest of the 1.6 area and broken tl     is more than...  $$,24/11/2012 06:17,0
2.69E+17,MilanMando,order closed at p l of $19.99. ticket 522956 sell 0.01 lots gbpusd,15/11/2012 09:30,1
2.77E+17,yuwonowhy, : $gbpusd below 1.61 ahead of boe ,06/12/2012 08:27,0
2.71E+17,FXTraderUpdates,   sho entry for the elder impulse entry is setting up. $gbpusd. ,19/11/2012 23:06,-1
2.77E+17,forex_fx_,  : closed sell 2.0 lots gbpusd 1.6083 for  3.0 pips  total for today  175.0 pips,06/12/2012 16:15,1
2.99014E+17,FXTraderUpdates,   $gbpusd sentiment bullish based on analysis of 107 articles and reports. visit  ,06/02/2013 04:36,1
3.01E+17,ForexFactors,closed sell 0.0 lots $gbpusd 1.56919 for 0.0 pips  total for today  442.5 pips  ruby account,11/02/2013 11:14,1
2.92E+17,TemetNosce101,$gbpusd looking most bearish of the 3 but still range bound so should be good for scalp intra day trades either way.,16/01/2013 12:10,-1
2.73E+17,muktarfx,gbpusd shorts 6040 33 looking good,26/11/2012 12:40,-1
2.80E+17,Firozl,closed sell stoch gbpusd 1.61613 for  20.0 pips  total for today  20.0 pips,16/12/2012 22:20,1
2.72E+17,Piponomics101,rising trend line  pivot point  bullish divergence and market flow are making a gbpusd long look good around 1.5930 . looking for a bounce.,22/11/2012 16:49,1
2.72E+17,knaimad,closed sell $gbpusd 1.58433 for  86.8 pips  total for today  86.8 pips,22/11/2012 16:50,1
2.71E+17,chrisfkeane,$gbpusd charts to kick off the week: ,19/11/2012 13:57,0
3.00878E+17,NameSur71633099,closed sell gbpusd 1.5752 for  22.0 pips  total for today  54.0 pips,11/02/2013 08:04,1
2.96E+17,LoonieAdventure,don t laugh  okay  i m bullish on $eurusd but bearish on $gbpusd. let me tell you why: ,28/01/2013 08:43,-1
3.0235E+17,MM_FOREX,closed sell limit 0.45 lots gbpusd 1.55397 for 0.0 pips  total for today 0.0 pips with happy forex s1,15/02/2013 09:33,1
3.00909E+17,KRUPA7777,closed sell 0.1 lots gbpusd 1.57896 for  64.6 pips  total for today  33.6 pips,11/02/2013 10:07,1
2.96966E+17,NameSur71633099,closed buy gbpusd 1.579 for  18.0 pips  total for today  69.0 pips,31/01/2013 13:01,-1
2.73E+17,forex_fx_,  : closed sell $gbpusd 1.59413 for  0.5 pips  total for today  0.5 pips,25/11/2012 12:43,1
2.96E+17,WahKiatGoh,closed sell $gbpusd 1.57306 for  3.6 pips  total for today  117.1 pips,29/01/2013 16:42,1
2.93E+17,MigdaliaDunn,closed sell 0.1 lots gbpusd 1.5731 for  31.0 pips  total for today  71.0 pips,19/01/2013 18:05,1
2.9915E+17,FXTraderUpdates,   $gbpusd sentiment bullish based on analysis of 210 articles and reports. visit  ,06/02/2013 13:36,1
2.87E+17,pinosenu,daily weekly: eurusd bearish bullish  usdjpy bullish bullish  eurjpy bullish bullish  audusd bullish bullish and gbpusd bearish bullish.,05/01/2013 09:02,0
2.94E+17,GamblerKohana,closed sell 0.05 lots gbpusd 1.58373 for  10.0 pips  total for today  185.2 pips edge2,23/01/2013 15:36,1
2.75E+17,forex_fx_,  : $89.00 dollar next $usdx $dxy $usdjpy $eurusd $gbpusd $usdzar $usdcad dec 3rd giza planetary alignment  ,30/11/2012 20:00,0
2.70E+17,forex_fx_,  : gbpusd possible support around 1.5915,19/11/2012 05:13,-1
2.76E+17,MW_forextrading,the brief harmonic daily forecaster   gbpusd ,04/12/2012 01:45,0
2.80E+17,benefactorv,closed sell 1.0 lots gbpusd 1.5507 for  19.0 pips  total for today  309.0 pips,15/12/2012 08:13,1
3.00781E+17,FXTraderUpdates,   $gbpusd sentiment bullish based on analysis of 67 articles and reports. visit   ,11/02/2013 01:39,1
2.98867E+17,q_jol,  $gbpusd there is no fundamental reason behind the move today  ,05/02/2013 18:53,0
2.96746E+17,FOREXcom,$gbpusd sees trendline resistance  drawn from the jan. high  as well as the 200 hour sma around 1.5800 05  ct,30/01/2013 22:25,0
2.96997E+17,traderlife,closed sell 0.02 lots $gbpusd 1.57948 for  10.3 pips  total for today  71.1 pips,31/01/2013 15:02,1
2.71E+17,actecapital,ill b back replies to: cable update  gbpusd : i m still favoring 62xx area  but will go with the flow. ...  $$,21/11/2012 20:44,0
3.01862E+17,aklainsta,closed sell gbpusd 1.5538 for  7.0 pips  total for today  19.0 pips,14/02/2013 01:16,1
2.72E+17,Hindmost_Fr,closed buy gbpusd 1.59523 for  9.5 pips  total for today  34.8 pips,23/11/2012 08:51,-1
2.92E+17,FXstreetNews, : $gbpusd strengthens on london opening ,17/01/2013 09:01,1
2.79E+17,forexfox73,closed sell    based on the h4 chart gbpusd 1.61158 for  37.7 pips  total for today  34.3 pips traders,13/12/2012 13:31,1
2.91E+17,QuaySolutions,closed sell 0.05 lots gbpusd 1.60691 for  52.1 pips  total for today  68.2 pips,16/01/2013 08:24,1
2.77E+17,FXTraderUpdates,   long future entry for the elder triple screen trading system is setting up. $gbpusd ,06/12/2012 02:50,1
2.71E+17,SymbiosisFXFB2,$gbpusd long entry for active hours breakout setting up. this is your early warnin. you can see a chart here: ,21/11/2012 13:51,1
2.78E+17,actecapital,nahman replies to: cable update  gbpusd : gbp usd lower as good news from the us has made it drop.  $$,09/12/2012 07:45,-1
2.78E+17,ITF4U,closed sell 0.27 lots $gbpusd 1.6008 for  91.0 pips  total for today  74.0 pipson    gu,10/12/2012 14:08,1
2.95E+17,ITF4U,closed buy 1.14 lots $gbpusd 1.6076 for  41.0 pips  total for today  41.0 pipson hot,27/01/2013 10:52,-1
2.96765E+17,dailysignalfx,closed buy 0.1 lots gbpusd 1.57742 for  10.0 pips  total for today  10.0 pips,30/01/2013 23:40,-1
2.79E+17,MellyForex,forex windfall has opened a gbpusd buy trade of 0.20 lots at 1.61407... visit  for live performance,12/12/2012 20:30,1
2.99906E+17,LivermoreInvest,sold 0.14 lots $gbpusd 1.58243,08/02/2013 15:42,-1
2.72E+17,forex_fx_,  : daily weekly: eurusd bulilsh bullish  usdjpy bullish bullish  eurjpy bullish bullish  audusd bullish bullish and gbpusd bullish bullish.,24/11/2012 02:58,0
2.77E+17,oldtbone,closed sell 0.5 lots $gbpusd 1.6075 for  30.0 pips  total for today  22.0 pips,06/12/2012 18:10,1
3.03709E+17,FXTraderUpdates,   $gbpusd sentiment bullish based on analysis of 56 articles and reports. visit   ,19/02/2013 03:33,1
3.01E+17,ForexFactors,closed sell 4.0 lots $gbpusd 1.57088 for  1.8 pips  total for today  1.8 pips  ruby account,11/02/2013 10:50,1
2.69E+17,MT4inews,gbpusd possible support around 1.5850,15/11/2012 21:05,-1
2.83E+17,ElliottWaveFX,gbpusd 21st december  2012: on friday s session the pound moved towards the downside  the target was reached and... ,24/12/2012 11:17,-1
2.79E+17,fxtrader111,closed sell gbpusd 1.61054 for  10.4 pips  total for today  36.4 pips,11/12/2012 22:06,1
2.92E+17,toonbuck,  : posted while $gbpusd was above 1.60 this morning: capped by 1.6050 and supported by 1.5950 as expected ,17/01/2013 17:43,0
2.90E+17,SharellWolf,closed buy 0.1 lots gbpusd 1.5729 for  6.0 pips  total for today  99.0 pips,12/01/2013 20:05,-1
2.71E+17,BlackCentaurFX,forexcom: $gbpusd has been struggling into the bottom of the daily ichimoku cloud  1.5905 10  as well as the oct. 23 low near 1.5915 20...,19/11/2012 15:18,-1
