431444534204305408,MT4i news,usdchf sentiment down by 15  in 10 minutes. currently 47  long. fc,06/02/2014 15:09:27
431445412223135744,Sergey Golubev,usdchf m5 : 84 pips price movement by usd   trade balance news event p6,06/02/2014 15:12:56
431446190119325696,TradeAlerter,closed buy usdchf 0.89702 for  15.9 pips  total for today  86.7 pips,06/02/2014 15:16:02
431447223771987969,FPE TRADING,long usdchf  short nzdusd  closed usdjpy  will reload later  was a fun ride  ,06/02/2014 15:20:08
431455503340691457,Russell Barton,taking $eurjpy short and $usdchf long... small chunks tight stops after a wild morning,06/02/2014 15:53:02
431456166107811841,Firoz Limalia,closed buy ibfx zulu2 usdchf 0.89788 for  15.2 pips  total for today  1066.5 pips,06/02/2014 15:55:40
431458532789993472,SoncheRyu,bought 0.01 lots usdchf 0.899,06/02/2014 16:05:04
431462061738979328,Swagman Magazine,bought 0.01 lots usdchf 0.89931 oanda mt4,06/02/2014 16:19:06
431462050678571008,Swagman Magazine,bought 0.01 lots usdchf 0.89928 oanda mt4,06/02/2014 16:19:03
431462791724023808,EWI Forex Insider,$usdchf is stable after a similar move to measured objectives  and $gbpusd failed to participate at all. hmm.,06/02/2014 16:22:00
431463461160091652,NewDigitWorld,one profitable trade was taken  open and close  for usdchf by brainwashing ea toda sf,06/02/2014 16:24:40
431463517430902784,Jacques Naude,.  have a look at usdchf on m15 and you will get an idea of where we are going. dollar view basically $gbpusd,06/02/2014 16:24:53
431463461160091652,NewDigitWorld,one profitable trade was taken  open and close  for usdchf by brainwashing ea toda sf,06/02/2014 16:24:40
431465413814145024,Theodore Kekstadt,$usdchf currency analysis  charts  news  and more for online traders     kk,06/02/2014 16:32:25
431468688743477249,Dr Forex,sold 0.59 lots $usdchf 0.89964   auto copy free at jh,06/02/2014 16:45:26
431468677959909378,Passive Alpha,sold $usdchf 0.89964   auto copy free via uu,06/02/2014 16:45:23
431468605914742784,MellyForex,wall street forex has opened a usdchf sell trade of 0.11 lots at 0.89971... visit hc for live performance,06/02/2014 16:45:06
431469191606960128,asutoshi ato,sold 0.86 lots usdchf 0.89964,06/02/2014 16:47:26
431469898502381569,Jason Tate,sold $usdchf 0.89964  trading involves risk of losing all of your initial investment ,06/02/2014 16:50:14
431469871700787200,Zulutrader 101,sold 0.52 lots $usdchf 0.89964 sl 0.91158 tp 0.89458   auto copy free at 4o,06/02/2014 16:50:08
431471005471494145,YouAreTrader,closed sell 0.5 lots $usdchf 0.90026 for  5.2 pips  total for today  269.0 pips ,06/02/2014 16:54:38
431471137001070592,Dow Jones News,bullish usdollar setup deteriorates ahead of nfp  aud at resistance $usdchf b5,06/02/2014 16:55:10
431471005471494145,YouAreTrader,closed sell 0.5 lots $usdchf 0.90026 for  5.2 pips  total for today  269.0 pips ,06/02/2014 16:54:38
431472252316446720,SoncheRyu,closed buy 0.01 lots usdchf 0.899 for  3.0 pips  total for today  209.0 pips,06/02/2014 16:59:35
431472238890475522,Xignite Currencies,london markets closing. $usdchf 0.899325  0.55  from yesterday close.  ,06/02/2014 16:59:32
431472111433945088,zbojnik,  does not look identical. correct  looks stronger i think  usdchf looks strong though.,06/02/2014 16:59:02
431473261759983617,Signals Trading,order opened: ticket 42962811 buy 0.40 lots usdchf0.89944 visit us: iu ,06/02/2014 17:03:36
431473261759983617,Signals Trading,order opened: ticket 42962811 buy 0.40 lots usdchf0.89944 visit us: iu ,06/02/2014 17:03:36
431475088035049472,natiah,bought 0.5 lots usdchf 0.8995,06/02/2014 17:10:52
431479331185901568,ForexKy,sold 0.11 lots usdchf 0.89964,06/02/2014 17:27:43
431480961478311936,Christian G,$usdchf testing the top of its decending wedge on daily. now in consolidation and ripe for breakout. expecting higher ts,06/02/2014 17:34:12
431481244447424512,ProbabilityOne,  : $usdchf testing the top of its decending wedge on daily. now in consolidation and ripe for breakout. expecting higher http:  t. ,06/02/2014 17:35:19
431486546126979073,SoncheRyu,bought 0.01 lots usdchf 0.8991,06/02/2014 17:56:23
431486546126979073,SoncheRyu,bought 0.01 lots usdchf 0.8991,06/02/2014 17:56:23
431488887538475008, ,closed buy usdchf 0.89773 for  13.8 pips  total for today  133.4 pips,06/02/2014 18:05:42
431491407954464768,Atelier Investments,closed buy $usdchf 0.9042 for  44.4 pips  total for today  839.3 pips,06/02/2014 18:15:43
431491398680858625,Atelier Investments,closed buy $usdchf 0.89722 for  25.4 pips  total for today  794.9 pips,06/02/2014 18:15:40
431491617543843840,Wealthonomy,closed buy $usdchf 0.9042 for  44.4 pips  total for today  822.8 pips,06/02/2014 18:16:33
431491611717943296,Passive Alpha,closed buy $usdchf 0.9042 for  44.4 pips  total for today  824.2 pips,06/02/2014 18:16:31
431491610895872000,John Wilson,closed buy $usdchf 0.9042 for  44.4 pips  total for today  837.9 pips,06/02/2014 18:16:31
431491610530959360,Wealthonomy,closed buy $usdchf 0.89722 for  25.4 pips  total for today  778.4 pips,06/02/2014 18:16:31
431491610468024320,Dr Forex,closed buy 0.69 lots $usdchf 0.9042 for  44.4 pips  total for today  824.2 pips,06/02/2014 18:16:31
431491604122042368,John Wilson,closed buy $usdchf 0.89722 for  25.4 pips  total for today  793.5 pips,06/02/2014 18:16:29
431491604101091330,Passive Alpha,closed buy $usdchf 0.89722 for  25.4 pips  total for today  779.8 pips,06/02/2014 18:16:29
431491603308367873,Dr Forex,closed buy 0.69 lots $usdchf 0.89722 for  25.4 pips  total for today  779.8 pips,06/02/2014 18:16:29
431492511006085120,ForexKy,sold 0.16 lots usdchf 0.89969,06/02/2014 18:20:06
431493756182073344,MT4i news,usdchf possible support around 0.8995,06/02/2014 18:25:02
431493591538487297,FCTOPRO,closed buy 0.43 lots usdchf 0.89723 for  28.4 pips  total for today  103.4 pips,06/02/2014 18:24:23
431493584777252864,FCTOPRO,closed buy 0.29 lots usdchf 0.89973 for  3.4 pips  total for today  75.0 pips,06/02/2014 18:24:22
431493577953132545,FCTOPRO,closed buy 0.19 lots usdchf 0.90192 for  18.5 pips  total for today  71.6 pips,06/02/2014 18:24:20
431493569405145089,FCTOPRO,closed buy 0.19 lots usdchf 0.90225 for  21.8 pips  total for today  90.1 pips,06/02/2014 18:24:18
431493551378427904,John Kicklighter,  i am in audnzd but not usdchf. i m not going to track count these as too many people attempt to trade them as short term,06/02/2014 18:24:14
431493389565952000,Firoz Limalia,closed buy ibfx619 usdchf 0.89918 for  9.4 pips  total for today  531.6 pips,06/02/2014 18:23:35
431493385904328704,Firoz Limalia,closed buy ibfx617 usdchf 0.89918 for  9.4 pips  total for today  533.4 pips,06/02/2014 18:23:34
431494835347152897,billyer Bittner,idea usdchf stand asid,06/02/2014 18:29:20
431495348734164992,FXStreet Reports,usdchf slumps on us q4 unit labour costs by     sy,06/02/2014 18:31:22
431496554264809472,Bestforexrebates,closed buy usdchf 0.9043 for  45.0 pips  total for today  1.0 pips,06/02/2014 18:36:10
431496543577726976,Bestforexrebates,closed buy usdchf 0.8973 for  25.0 pips  total for today  44.0 pips,06/02/2014 18:36:07
431497139479269376,SoncheRyu,closed buy 0.01 lots usdchf 0.8991 for  3.0 pips  total for today  217.0 pips,06/02/2014 18:38:29
431498861706633216,Firoz Limalia,closed buy ibfx zulu usdchf 0.89917 for  9.5 pips  total for today  541.6 pips,06/02/2014 18:45:20
431499374519009281,Swagman Magazine,closed buy 0.01 lots usdchf 0.89928 for  10.6 pips  total for today  58.5 pips oanda mt4,06/02/2014 18:47:22
431499385273200640,Swagman Magazine,closed buy 0.01 lots usdchf 0.89931 for  11.3 pips  total for today  69.8 pips oanda mt4,06/02/2014 18:47:24
431499374519009281,Swagman Magazine,closed buy 0.01 lots usdchf 0.89928 for  10.6 pips  total for today  58.5 pips oanda mt4,06/02/2014 18:47:22
431501273503133696,BlackCentaurFX,usdchf slumps on us q4 unit labour costs 5h,06/02/2014 18:54:55
431503031293575171,Forex News Real Time,usdchf slumps on us q4 unit labour costs gj,06/02/2014 19:01:54
431503278300725248,hookahs Kesavan,idea usdchf stand current selloff on dollars broadbased weakness against european cur,06/02/2014 19:02:53
431503031293575171,Forex News Real Time,usdchf slumps on us q4 unit labour costs gj,06/02/2014 19:01:54
431503653539954688,Forex handy,usdchf slumps on us q4 unit labour costs du,06/02/2014 19:04:22
431503873262383104,Forex handy,usdchf slumps on us q4 unit labour costs bn,06/02/2014 19:05:15
431504635463860224,SoncheRyu,bought 0.01 lots usdchf 0.9001,06/02/2014 19:08:16
431505368380764160,giovanni dall' olio,fx street usdchf slumps on us q4 unit labour costs: a forextrading.tv technical analysis video alert for usdchf tl,06/02/2014 19:11:11
431505982280052736,ForexTradingUnlocked,$usdchf currency analysis  charts  news  and more for online traders     y4,06/02/2014 19:13:37
431508826257227776,FCTOPRO,closed buy 0.11 lots usdchf 0.90018 for  5.0 pips  total for today  108.4 pips,06/02/2014 19:24:55
431511131840978945,Ace Ruhyat,usdchf slumps on us q4 unit labour costs ju,06/02/2014 19:34:05
431515104429875201,SoncheRyu,closed buy 0.01 lots usdchf 0.9001 for  3.0 pips  total for today  255.0 pips,06/02/2014 19:49:52
431516417561989120,Dow Jones News,us dollar drops another two cents to 7.89 pesos $usdchf gb,06/02/2014 19:55:05
431516414508544001,Dow Jones News,slovenia eyes dual tranche us dollar bond in coming weeks $usdchf d8,06/02/2014 19:55:05
431521568871563264,FCTOPRO,closed buy 0.01 lots usdchf 0.89917 for  18.5 pips  total for today  185.3 pips,06/02/2014 20:15:33
431521561913217024,FCTOPRO,closed buy 0.01 lots usdchf 0.90067 for  3.5 pips  total for today  166.8 pips,06/02/2014 20:15:32
431521552639614977,FCTOPRO,closed buy 0.01 lots usdchf 0.90173 for  7.1 pips  total for today  163.3 pips,06/02/2014 20:15:30
431531709431967744,SoncheRyu,bought 0.01 lots usdchf 0.9003,06/02/2014 20:55:51
431532644707225601,Xignite Currencies,market close     $eurusd 1.35921  0.56  $usdjpy 102.115  0.82  $gbpusd 1.6327  0.24  $usdchf 0.90045  0.43   ,06/02/2014 20:59:34
431533942349385729,DnB Price Action,usdchf rejection candle sells off and hits weekly... wg,06/02/2014 21:04:44
431542301093941248,Patrick Montes,  : closed buy 0.01 lots usdchf 0.89931 for  11.3 pips  total for today  69.8 pips oanda mt4,06/02/2014 21:37:56
431544107824320512,MT4i news,usdchf possible support around 0.9005,06/02/2014 21:45:07
431547164578566144,Signals Trading,order closed at p l of $79.92. ticket 42932723 buy 0.40 lots usdchf visit us: www signalstrading net ,06/02/2014 21:57:16
431547335009898496, ,usdchf exit at limit with  100 pips                            ,06/02/2014 21:57:57
431548673466462208,YouAreTrader,buy stop 0.5 lots $usdchf 0.90587 sl 0.90287 ,06/02/2014 22:03:16
431557949329137664,daria,bought $usdchf 0.90105 sl 0.88073 $$ yi,06/02/2014 22:40:07
431557928248938496,TraderWithAGun,stopped out on crude  covered usdchf ahead of nfp but now i m short aud against eur and usd,06/02/2014 22:40:02
431561741169082368,Dow Jones News,forex: j$107.73 to one us dollar $usdchf rv,06/02/2014 22:55:11
431563823728693248,YouAreTrader,buy stop 0.5 lots $usdchf 0.90602 sl 0.90302 ,06/02/2014 23:03:28
431563790795022336,YouAreTrader,closed buy stop 0.5 lots $usdchf 0.90587 for 0.0 pips  total for today  370.8 pips ,06/02/2014 23:03:20
431571409836707840,Ldnfrog,i just closed a profitable buy trade on $usdchf0.90561  4.79 . check my new   score. g5,06/02/2014 23:33:36
431573017056276480,Dow Jones News,graphic rewind: us dollar falls to a 3 week low on aussie and euro strength $usdchf gg,06/02/2014 23:40:00
431573166532874241,Lydia Martnez Seuba,  : i just closed a profitable buy trade on $usdchf0.90561  4.79 . check my new   score. g5,06/02/2014 23:40:35
431573166532874241,Lydia Martnez Seuba,  : i just closed a profitable buy trade on $usdchf0.90561  4.79 . check my new   score. g5,06/02/2014 23:40:35
